,Lower Super Output Area,Names,2011 Census Population;Age Structure;All Ages,Population Density;Area (Hectares);,Country of Birth;% Not United Kingdom;2011,Household Language;% of households where no people aged 16 or over have English as a main language;2011,House Prices;Median Price (?;2014,House Prices;Sales;2014,Economic Activity;Unemployment Rate;2011,Qualifications;% No qualifications;2011,Public Transport Accessibility Levels (2014);Average Score;,Child Benefit;Total Number of Children;2013,"Household Income, 2011/12;Median Annual Household Income estimate (?",theft_number,theft_rate
59,E01000906,Camden 012E,1532,13.8,38.2,9.8,587500,24,3.9,7.2,4.7,140,48841,24.0,156.65796344647518
60,E01000875,Camden 013A,1654,11.7,47.9,21.7,455000,24,5.7,9.4,4.9,230,33219,9.0,54.41354292623942
61,E01000876,Camden 013B,1748,11.7,45.2,21.9,459000,22,9.7,17.1,4.6,330,28093,11.0,62.92906178489702
62,E01000931,Camden 013C,1910,14.7,47.0,24.5,425000,25,10.9,20.5,5.7,435,25729,53.0,277.4869109947644
63,E01000932,Camden 013D,1838,6.6,44.5,13.9,590000,38,4.2,9.9,6.1,160,37270,8.0,43.525571273122964
64,E01000974,Camden 013E,1707,11.5,42.2,15.3,392500,18,7.6,15.4,5.8,255,29982,61.0,357.35207967193907
65,E01000843,Camden 014A,1678,8.3,42.1,17.0,875000,33,6.8,8.3,4.0,250,44503,18.0,107.27056019070322
66,E01000845,Camden 014B,1464,11.8,43.4,14.6,665000,33,3.7,6.8,3.7,160,53278,37.0,252.73224043715848
67,E01000846,Camden 014C,1501,8.3,43.6,21.3,1180000,10,9.5,18.3,3.4,365,34028,20.0,133.24450366422386
68,E01000847,Camden 014D,1686,9.9,45.1,20.5,950000,15,8.7,13.8,4.6,390,35289,21.0,124.55516014234875
69,E01000864,Camden 015A,1537,9.8,32.4,11.6,620000,20,5.8,10.7,3.2,195,38957,29.0,188.67924528301887
70,E01000865,Camden 015B,1505,10.9,37.9,8.9,776475,10,4.8,5.5,4.6,105,47904,76.0,504.983388704319
71,E01000867,Camden 015C,1608,8.1,42.8,22.8,640000,4,7.0,19.7,6.9,335,26792,24.0,149.2537313432836
72,E01000868,Camden 015D,1442,8.4,39.5,27.7,380000,7,12.9,23.1,2.4,365,24521,18.0,124.82662968099861
73,E01000869,Camden 015E,2110,11.5,35.8,12.8,528750,36,6.1,11.1,4.3,315,34563,40.0,189.5734597156398
74,E01000962,Camden 016A,1592,9.5,50.6,15.7,740500,35,4.4,4.2,6.7,160,57954,13.0,81.65829145728644
75,E01000964,Camden 016B,1577,12.6,46.7,13.3,694000,22,5.7,8.0,7.0,260,45755,8.0,50.72923272035511
76,E01000965,Camden 016C,1522,10.8,42.8,18.7,600000,29,3.0,7.6,6.2,220,44410,23.0,151.11695137976346
77,E01000966,Camden 016D,1512,13.0,47.6,13.5,894500,32,2.0,4.6,5.6,145,63943,5.0,33.06878306878307
