,Lower Super Output Area,Names,2011 Census Population;Age Structure;All Ages,Population Density;Area (Hectares);,Country of Birth;% Not United Kingdom;2011,Household Language;% of households where no people aged 16 or over have English as a main language;2011,House Prices;Median Price (?;2014,House Prices;Sales;2014,Economic Activity;Unemployment Rate;2011,Qualifications;% No qualifications;2011,Public Transport Accessibility Levels (2014);Average Score;,Child Benefit;Total Number of Children;2013,"Household Income, 2011/12;Median Annual Household Income estimate (?",theft_number,theft_rate
2876,E01001057,Croydon 030E,1814,13.8,22.7,10.0,248000,4,18.3,29.7,3.0,740,18572,7.0,38.58875413450937
2877,E01001033,Croydon 031A,1616,29.8,27.8,8.1,260000,43,7.7,13.3,3.4,310,37432,29.0,179.45544554455444
2878,E01001034,Croydon 031B,1516,29.9,22.6,8.5,250000,40,5.4,10.4,3.4,285,37951,7.0,46.17414248021108
2879,E01001041,Croydon 031C,1611,20.0,25.1,10.1,219858,42,8.1,13.2,3.3,375,29856,11.0,68.28057107386716
2880,E01001095,Croydon 031D,1468,24.0,22.5,8.9,265000,37,5.6,12.1,3.3,350,34090,12.0,81.74386920980926
2881,E01001100,Croydon 031E,1473,24.3,17.8,4.0,372500,24,3.2,11.9,3.4,295,42362,6.0,40.73319755600814
2882,E01001053,Croydon 032A,1513,23.1,15.1,4.0,234975,14,8.2,33.7,3.0,490,23954,6.0,39.656311962987445
2883,E01001055,Croydon 032B,1595,29.2,15.9,4.3,226075,4,11.4,39.6,3.0,415,21286,14.0,87.7742946708464
2884,E01001077,Croydon 032C,1396,18.2,12.3,4.8,250000,21,6.0,28.1,3.1,325,27732,1.0,7.163323782234957
2885,E01001078,Croydon 032D,1404,37.4,14.1,6.0,250000,12,10.3,31.3,2.9,430,23862,15.0,106.83760683760684
2886,E01001082,Croydon 032E,1627,55.3,12.5,2.9,218000,15,10.2,32.8,2.5,510,23180,6.0,36.87768899815612
2887,E01001120,Croydon 033A,1263,30.6,16.3,2.7,325000,25,3.6,16.3,2.4,270,37851,5.0,39.5882818685669
2888,E01001122,Croydon 033B,1539,123.8,27.2,6.3,538250,12,3.9,10.6,2.1,200,51335,2.0,12.99545159194282
2889,E01001123,Croydon 033C,1514,74.9,15.7,2.0,375000,23,3.9,16.1,1.3,240,47045,2.0,13.21003963011889
2890,E01001124,Croydon 033D,1573,60.1,12.4,1.3,343475,24,3.8,11.9,1.4,185,53237,3.0,19.071837253655435
2891,E01001125,Croydon 033E,1650,38.8,19.3,4.3,352750,20,5.7,15.9,3.0,290,39750,15.0,90.9090909090909
2892,E01001058,Croydon 034A,1326,19.7,15.8,4.4,280000,21,6.0,15.2,2.5,340,37178,,
2893,E01001059,Croydon 034B,1396,18.5,13.7,2.6,193500,32,4.4,15.4,2.1,285,32838,2.0,14.326647564469914
2894,E01001060,Croydon 034C,1581,151.7,14.3,3.3,228500,30,5.2,15.1,2.5,420,32565,7.0,44.27577482605946
2895,E01001061,Croydon 034D,1533,45.4,14.9,3.9,199000,38,6.7,21.4,1.9,385,27999,2.0,13.04631441617743
2896,E01001065,Croydon 034E,1334,117.6,14.0,2.7,282500,22,5.6,18.3,2.2,190,35227,53.0,397.3013493253373
2897,E01001066,Croydon 034F,1369,16.3,21.3,5.1,212500,6,10.8,27.6,1.3,495,24178,8.0,58.43681519357195
2898,E01001119,Croydon 034G,1470,68.9,8.2,0.9,301475,18,2.6,16.9,2.0,280,41532,1.0,6.802721088435374
2899,E01001126,Croydon 034H,1402,22.0,10.6,1.8,225000,35,3.4,19.2,2.0,210,39610,4.0,28.530670470756064
2900,E01001032,Croydon 035A,1396,64.6,14.8,1.9,588750,22,2.7,11.4,1.6,175,53136,3.0,21.48997134670487
2901,E01001101,Croydon 035B,1423,54.7,12.1,1.4,470000,15,4.0,11.0,1.1,235,52119,,
2902,E01001102,Croydon 035C,1463,63.7,16.0,2.1,379950,50,2.2,15.4,1.9,185,49037,14.0,95.69377990430621
2903,E01001107,Croydon 035D,1616,75.5,20.4,2.9,407500,42,5.1,9.3,1.9,220,52772,12.0,74.25742574257426
2904,E01001108,Croydon 035E,1711,54.4,13.7,1.8,499950,21,4.1,9.2,1.5,305,56959,2.0,11.689070718877849
2905,E01001076,Croydon 036A,1606,34.3,14.6,4.0,249000,13,11.1,35.8,2.7,475,23117,22.0,136.986301369863
2906,E01001079,Croydon 036B,1681,30.3,13.0,3.4,230000,7,10.4,34.0,2.6,495,22062,9.0,53.53955978584176
2907,E01001080,Croydon 036C,1678,21.9,16.5,6.3,216500,4,13.9,43.3,2.5,495,20098,16.0,95.35160905840286
2908,E01001081,Croydon 036D,1409,45.6,14.0,4.9,245000,14,11.4,37.4,2.6,405,22220,7.0,49.680624556423
2909,E01001073,Croydon 037A,1441,30.7,21.7,5.2,300000,39,6.3,11.4,2.6,250,41999,3.0,20.81887578070784
2910,E01001092,Croydon 037B,1777,58.9,27.5,7.5,542500,33,6.4,17.4,2.1,260,51709,9.0,50.64715813168261
2911,E01001093,Croydon 037C,1738,40.5,24.9,7.5,290000,29,5.0,14.4,3.0,375,38766,5.0,28.768699654775606
2912,E01001096,Croydon 037D,1534,39.5,20.7,2.8,478775,16,2.9,9.5,2.3,265,54568,5.0,32.59452411994785
2913,E01001097,Croydon 037E,2103,44.1,28.2,8.2,225000,51,4.7,13.6,4.3,420,33526,89.0,423.2049453162149
2914,E01001098,Croydon 037F,1452,47.9,18.0,3.7,485000,20,5.0,10.2,2.2,210,57551,2.0,13.774104683195592
2915,E01001028,Croydon 038A,1630,87.2,22.0,3.4,747500,18,4.7,12.4,1.3,255,56991,5.0,30.67484662576687
2916,E01001029,Croydon 038B,1593,50.0,26.7,7.8,375000,30,4.2,15.9,3.0,205,50015,6.0,37.66478342749529
2917,E01001030,Croydon 038C,1411,41.9,18.5,4.8,550000,18,2.8,11.0,2.5,230,55081,5.0,35.43586109142452
2918,E01001031,Croydon 038D,1466,40.2,16.3,3.3,401500,16,5.2,11.5,2.2,275,52697,,
2919,E01001094,Croydon 038E,1585,117.0,25.2,3.6,655000,17,3.9,12.1,1.5,230,61489,7.0,44.164037854889585
2920,E01001103,Croydon 039A,1680,73.7,12.6,2.5,386700,36,4.3,18.3,1.6,285,43899,4.0,23.80952380952381
2921,E01001105,Croydon 039B,1729,98.8,8.8,2.1,350000,20,5.4,25.7,1.7,420,30566,5.0,28.91844997108155
2922,E01001106,Croydon 039C,1490,43.1,10.6,2.8,358500,12,5.6,20.2,1.6,325,35736,11.0,73.8255033557047
2923,E01001121,Croydon 039D,1308,221.6,14.7,4.2,350000,39,3.2,15.5,1.5,150,50318,2.0,15.290519877675841
2924,E01001069,Croydon 040A,1385,39.9,17.5,3.2,400000,21,4.1,15.8,1.8,295,47826,9.0,64.98194945848375
2925,E01001070,Croydon 040B,1726,52.9,19.5,4.6,395000,23,8.3,18.8,1.0,400,37796,3.0,17.381228273464657
2926,E01001075,Croydon 040C,1547,44.7,16.3,4.8,255000,30,5.5,15.2,2.4,325,40375,4.0,25.85649644473174
2927,E01001099,Croydon 040D,1477,21.2,20.0,5.3,326000,26,7.4,12.9,3.1,415,36891,8.0,54.16384563303994
2928,E01001015,Croydon 041A,1440,40.1,12.5,3.3,426000,18,7.8,19.3,2.5,380,34296,8.0,55.55555555555556
2929,E01001016,Croydon 041B,1705,104.8,16.8,3.9,356500,22,4.8,14.3,1.8,325,42252,8.0,46.9208211143695
2930,E01001023,Croydon 041C,1314,57.2,20.5,5.2,189950,33,7.1,20.2,3.8,250,30928,53.0,403.3485540334855
2931,E01001067,Croydon 041D,1631,68.5,19.1,3.1,535000,36,4.2,10.0,1.6,265,57116,5.0,30.656039239730227
2932,E01001074,Croydon 041E,1933,40.6,23.1,5.9,257250,32,6.6,15.4,3.2,465,36044,9.0,46.559751681324364
2933,E01001068,Croydon 042A,1924,77.0,15.2,3.1,290000,33,5.8,14.1,2.2,405,40749,10.0,51.975051975051976
2934,E01001071,Croydon 042B,1891,74.9,12.7,2.6,337750,46,4.9,14.3,1.7,455,39559,3.0,15.864621893178212
2935,E01001072,Croydon 042C,1488,217.0,16.1,3.0,555250,19,5.0,16.2,0.3,210,56717,2.0,13.440860215053764
2936,E01001104,Croydon 042D,1665,170.7,15.8,2.5,396000,35,5.0,12.3,2.0,320,49924,3.0,18.01801801801802
2937,E01001017,Croydon 043A,1624,134.5,11.0,1.4,450000,23,4.8,11.0,1.8,280,50938,,
2938,E01001024,Croydon 043B,1428,27.9,13.8,2.3,307775,27,5.3,15.6,2.8,310,42369,4.0,28.011204481792717
2939,E01001025,Croydon 043C,1296,22.8,11.7,1.8,381500,27,4.7,18.3,3.0,290,42430,5.0,38.58024691358025
2940,E01001026,Croydon 043D,1729,27.7,8.8,0.3,332500,34,3.6,18.4,2.5,435,36297,8.0,46.26951995373048
2941,E01001027,Croydon 043E,1582,144.6,13.8,0.9,335000,21,4.0,13.0,1.9,355,44743,12.0,75.85335018963337
2942,E01001018,Croydon 044A,1556,95.1,9.1,1.1,340000,39,5.0,16.5,1.8,295,43743,3.0,19.28020565552699
2943,E01001019,Croydon 044B,1511,59.8,9.5,1.2,425000,15,4.8,16.2,2.0,220,48775,,
2944,E01001020,Croydon 044C,1630,36.0,11.8,1.4,357500,28,4.3,20.6,2.2,290,40033,9.0,55.21472392638037
2945,E01001021,Croydon 044D,1332,204.3,11.8,2.7,250000,13,10.1,31.2,1.3,365,25333,11.0,82.58258258258257
2946,E01001022,Croydon 044E,1446,99.8,11.6,1.8,375000,19,5.6,19.9,1.4,225,43559,5.0,34.57814661134163
2947,E01000990,Croydon 045A,1420,16.8,24.9,8.4,248000,7,10.8,31.1,3.1,455,23699,12.0,84.50704225352112
2948,E01001189,Croydon 045B,1211,11.8,25.8,5.4,298000,29,7.6,17.6,4.0,310,31122,4.0,33.03055326176713
2949,E01001190,Croydon 045C,1586,25.2,27.2,6.3,279998,22,6.8,15.5,2.5,485,29505,6.0,37.83102143757881
2950,E01001194,Croydon 045D,1572,54.3,24.2,5.9,297475,44,7.2,14.6,3.8,465,32131,12.0,76.33587786259541
2951,E01032569,Croydon 045E,1731,31.3,22.8,9.2,290000,7,11.8,27.8,2.9,535,22065,9.0,51.99306759098787
2952,E01001269,Ealing 001A,1983,29.1,53.8,31.1,290000,25,5.5,14.7,3.2,505,31095,33.0,166.4145234493192
2953,E01001271,Ealing 001B,1804,33.9,51.0,28.3,346500,10,7.7,18.2,2.1,565,29682,8.0,44.34589800443459
2954,E01001309,Ealing 001C,1830,33.4,47.2,23.6,330500,24,5.9,18.3,1.6,490,30652,5.0,27.3224043715847
2955,E01001310,Ealing 001D,1801,23.8,44.4,22.6,205000,19,7.4,15.9,2.4,490,29990,22.0,122.15435868961687
2956,E01001311,Ealing 001E,2082,32.1,46.4,25.8,327500,12,7.8,26.9,1.5,575,25648,6.0,28.81844380403458
2957,E01001307,Ealing 002A,1833,57.3,49.9,26.4,345500,9,7.0,14.2,2.4,405,33946,8.0,43.644298963447895
2958,E01001308,Ealing 002B,2042,111.1,55.5,26.4,419975,22,6.1,13.9,3.5,380,36633,7.0,34.280117531831536
2959,E01001312,Ealing 002C,1839,20.5,58.3,33.1,394725,10,6.2,15.3,3.9,460,30439,11.0,59.815116911364875
2960,E01001313,Ealing 002D,1701,17.3,55.2,24.8,348000,9,6.7,15.5,3.1,390,32609,3.0,17.636684303350968
2961,E01001314,Ealing 002E,1585,29.3,54.7,28.9,345000,11,5.0,14.6,2.4,355,33983,6.0,37.85488958990536
2962,E01001315,Ealing 003A,1461,16.4,44.3,23.0,305750,10,7.0,18.4,2.5,350,29341,2.0,13.689253935660506
2963,E01001316,Ealing 003B,1583,18.2,46.2,24.5,226500,12,10.3,24.3,2.8,500,24075,15.0,94.75679090334808
2964,E01001317,Ealing 003C,1862,33.8,43.4,25.5,249975,24,8.3,23.7,2.5,580,26869,11.0,59.07626208378088
2965,E01001318,Ealing 003D,1790,25.5,42.2,25.8,280000,10,9.6,26.2,3.8,615,24920,5.0,27.932960893854748
2966,E01001320,Ealing 003E,1548,45.8,37.5,20.0,250000,5,12.2,24.2,1.1,580,21531,7.0,45.21963824289406
2967,E01001321,Ealing 003F,2021,33.2,43.2,21.1,341750,12,7.6,23.3,3.1,555,28208,10.0,49.48045522018802
2968,E01001270,Ealing 004A,1721,28.2,45.7,22.7,321475,12,7.2,17.5,1.7,430,32823,2.0,11.621150493898895
2969,E01001319,Ealing 004B,1498,14.0,43.1,24.9,312500,14,5.6,19.6,3.6,360,30203,6.0,40.05340453938585
2970,E01001322,Ealing 004C,1692,54.5,46.5,25.7,327000,26,6.3,17.0,4.2,460,30213,65.0,384.16075650118205
2971,E01001323,Ealing 004D,1728,33.9,50.2,26.5,335000,21,6.1,16.7,4.8,405,29436,41.0,237.26851851851853
2972,E01001341,Ealing 005A,1712,22.9,59.2,38.2,435000,9,6.1,17.0,2.0,460,30136,10.0,58.41121495327103
2973,E01001342,Ealing 005B,1867,19.0,58.8,37.0,320000,19,6.1,16.2,2.0,455,29759,8.0,42.849491162292445
2974,E01001343,Ealing 005C,1504,28.8,57.3,32.1,381250,10,7.1,15.7,1.8,365,31783,3.0,19.946808510638295
2975,E01001345,Ealing 005D,1680,18.1,59.1,33.7,420000,4,9.1,22.4,2.3,460,27573,1.0,5.9523809523809526
2976,E01001265,Ealing 006A,1692,50.1,51.2,31.3,255000,21,6.8,16.1,1.6,430,28894,15.0,88.65248226950355
2977,E01001266,Ealing 006B,1832,73.3,54.7,26.0,380000,12,6.0,15.0,3.4,395,32803,48.0,262.0087336244541
2978,E01001267,Ealing 006C,1953,38.4,48.3,25.7,255000,24,8.7,24.7,2.9,505,26422,64.0,327.7009728622632
2979,E01001272,Ealing 006D,1628,54.8,54.7,29.0,310000,3,6.5,15.5,4.0,365,32402,30.0,184.27518427518427
2980,E01001349,Ealing 006E,1404,68.0,42.3,20.3,358500,8,9.4,21.6,2.9,315,28631,11.0,78.34757834757835
2981,E01001344,Ealing 007A,2161,48.3,54.7,30.9,287475,20,6.8,16.2,3.2,525,30165,19.0,87.92225821378992
2982,E01001346,Ealing 007B,1878,23.0,54.8,29.3,400000,11,4.5,16.3,2.0,485,33655,5.0,26.624068157614484
2983,E01001347,Ealing 007C,1534,67.2,56.8,31.1,353000,18,6.1,17.3,1.5,355,31613,70.0,456.3233376792699
2984,E01001348,Ealing 007D,1599,41.1,53.3,31.2,386500,19,4.9,14.6,2.9,390,34307,43.0,268.9180737961226
2985,E01001257,Ealing 008A,1783,16.5,39.3,20.9,250000,10,13.4,30.5,3.2,620,20936,12.0,67.30229949523275
2986,E01001324,Ealing 008B,1553,31.6,47.1,25.8,185000,23,9.2,18.6,2.9,435,27074,7.0,45.07405022537025
2987,E01001326,Ealing 008C,1719,74.0,41.0,22.6,218056,18,10.9,25.6,1.1,525,24536,31.0,180.33740546829554
2988,E01001330,Ealing 008D,1598,29.7,44.9,29.9,172000,15,11.1,27.8,2.9,515,21030,11.0,68.8360450563204
2989,E01001332,Ealing 008E,1503,13.7,43.4,23.7,194950,11,12.9,24.1,3.0,470,22703,9.0,59.880239520958085
2990,E01001325,Ealing 009A,1758,95.2,32.2,13.5,275000,11,9.0,27.7,1.8,515,26653,8.0,45.50625711035267
2991,E01001327,Ealing 009B,1803,27.8,42.7,23.7,322000,21,9.6,25.6,2.8,485,26149,122.0,676.6500277315585
2992,E01001328,Ealing 009C,1730,38.3,42.5,26.9,319000,10,12.3,26.5,3.4,580,23797,20.0,115.60693641618496
2993,E01001329,Ealing 009D,1783,30.2,38.8,22.7,300000,14,8.3,25.9,2.3,510,27005,7.0,39.25967470555244
2994,E01001331,Ealing 009E,1674,14.2,41.9,27.3,250000,8,14.9,23.4,2.8,575,21892,7.0,41.81600955794504
2995,E01001258,Ealing 010B,1690,21.2,50.5,24.4,260000,24,8.0,19.2,3.5,425,28749,5.0,29.585798816568047
2996,E01001262,Ealing 010C,1592,26.0,43.3,20.4,235000,7,10.0,24.2,2.7,445,25661,6.0,37.688442211055275
2997,E01001263,Ealing 010D,1672,32.8,45.7,24.3,193000,12,9.4,24.7,1.9,485,25112,8.0,47.846889952153106
2998,E01001264,Ealing 010E,1655,30.4,44.7,22.9,265000,18,8.4,23.6,1.8,495,26999,4.0,24.169184290030213
2999,E01032743,Ealing 010F,2173,9.6,47.2,29.6,220000,31,9.0,15.6,3.1,790,27002,3.0,13.805798435342844
3000,E01032744,Ealing 010G,1526,19.9,52.4,34.8,210000,7,7.9,26.3,3.9,395,24886,26.0,170.38007863695938
3001,E01001276,Ealing 011A,1788,36.1,61.9,35.9,390000,21,6.5,13.7,2.9,420,30943,15.0,83.89261744966443
3002,E01001277,Ealing 011B,1844,54.3,63.8,35.0,465000,28,5.7,12.2,4.3,355,36636,21.0,113.882863340564
3003,E01001278,Ealing 011C,1962,45.3,61.7,35.5,330000,27,7.5,11.1,4.7,415,36594,38.0,193.67991845056065
3004,E01001280,Ealing 011D,1740,37.1,51.5,25.4,490000,31,5.1,7.5,3.4,250,45336,8.0,45.97701149425287
3005,E01001218,Ealing 012A,1908,27.6,55.6,36.0,268000,15,10.4,25.5,2.9,600,23303,19.0,99.58071278825996
3006,E01001260,Ealing 012B,1899,26.8,53.1,29.2,360000,15,5.3,19.3,4.2,415,29410,4.0,21.0637177461822
3007,E01001261,Ealing 012C,2178,43.0,53.7,32.1,305000,19,9.0,18.5,5.2,490,27312,59.0,270.89072543618
3008,E01001268,Ealing 012D,1736,30.4,40.8,19.6,386000,26,5.1,20.4,2.1,425,36918,4.0,23.04147465437788
3009,E01001209,Ealing 013A,1712,27.7,28.8,11.0,830000,19,3.6,7.0,2.4,325,59468,19.0,110.98130841121495
3010,E01001211,Ealing 013B,1702,18.0,35.3,14.3,445000,40,5.5,8.4,3.0,250,49244,12.0,70.50528789659225
3011,E01001279,Ealing 013C,1473,25.3,38.4,11.5,800000,17,4.3,5.9,2.8,195,62365,3.0,20.36659877800407
3012,E01001281,Ealing 013D,1600,28.8,30.9,10.7,697500,24,2.8,6.0,3.0,245,60760,6.0,37.5
3013,E01001217,Ealing 014A,1539,18.7,53.8,28.1,329250,12,6.3,16.3,2.2,365,29473,4.0,25.99090318388564
3014,E01001259,Ealing 014B,1457,26.1,55.9,29.8,250000,17,8.8,20.1,4.1,350,27797,15.0,102.9512697323267
3015,E01001291,Ealing 014C,1642,16.6,54.2,28.1,354975,14,9.9,20.2,3.3,440,27704,5.0,30.45066991473812
3016,E01001292,Ealing 014D,1708,18.6,54.5,26.6,310000,7,5.1,16.2,3.1,395,31102,2.0,11.7096018735363
3017,E01001293,Ealing 014E,1598,14.6,58.6,32.8,273500,8,7.7,19.2,2.9,430,27483,5.0,31.289111389236545
3018,E01001196,Ealing 015A,1766,22.9,49.4,23.5,247500,8,10.0,20.4,3.3,425,24270,20.0,113.25028312570781
3019,E01001238,Ealing 015B,2868,41.2,61.1,31.8,260000,46,7.6,11.5,4.6,540,27579,54.0,188.2845188284519
3020,E01001239,Ealing 015C,1542,41.5,51.1,24.1,292750,8,9.6,19.6,3.5,415,26825,13.0,84.30609597924773
3021,E01001246,Ealing 015D,1360,100.5,47.8,23.2,370000,12,9.9,20.9,4.1,455,27083,55.0,404.4117647058824
3022,E01001247,Ealing 015E,2170,113.5,58.8,25.5,460500,22,7.8,14.5,4.2,410,29974,205.0,944.7004608294931
3023,E01001210,Ealing 016A,1679,22.6,50.9,28.5,275450,8,13.6,27.4,3.4,495,23348,31.0,184.6337105419893
3024,E01001282,Ealing 016B,1557,15.0,42.6,23.1,387500,8,10.1,25.2,3.1,410,25847,9.0,57.80346820809248
3025,E01001283,Ealing 016C,1595,26.1,42.2,20.9,327500,14,8.6,28.0,3.9,410,24617,24.0,150.47021943573668
3026,E01001285,Ealing 016D,1690,21.3,42.5,24.0,378750,10,7.0,19.2,3.2,485,30397,6.0,35.50295857988166
3027,E01001286,Ealing 016E,1674,21.4,37.9,19.2,383750,18,6.3,20.7,3.0,485,29839,9.0,53.763440860215056
3028,E01001287,Ealing 016F,1437,9.2,44.5,24.8,380000,7,9.4,18.5,2.4,495,26673,3.0,20.8768267223382
3029,E01001294,Ealing 017A,1894,29.7,57.0,32.7,286500,8,7.1,19.4,3.0,455,27090,13.0,68.6378035902851
3030,E01001295,Ealing 017B,1826,16.0,56.2,32.1,275000,10,7.0,18.1,3.0,485,28147,4.0,21.90580503833516
3031,E01001296,Ealing 017C,1481,15.8,51.2,29.0,270000,7,7.0,21.6,2.9,365,26410,3.0,20.25658338960162
3032,E01001297,Ealing 017D,1814,25.0,57.2,34.9,255000,4,7.0,19.1,3.0,500,26113,12.0,66.15214994487322
3033,E01001298,Ealing 017E,1934,17.5,57.5,29.5,235000,6,10.9,24.3,3.1,450,24512,5.0,25.853154084798344
3034,E01001204,Ealing 018A,1589,16.8,37.4,16.2,757500,12,4.4,10.0,3.4,270,48504,17.0,106.98552548772814
3035,E01001205,Ealing 018B,1559,24.6,45.8,23.1,365000,13,9.3,14.5,3.0,460,28427,11.0,70.55805003207183
3036,E01001206,Ealing 018C,1714,15.0,45.3,30.4,379000,6,14.2,21.5,2.5,645,22767,8.0,46.67444574095682
3037,E01001207,Ealing 018D,1570,16.0,43.2,19.2,450000,27,5.5,9.3,3.7,225,45009,29.0,184.71337579617833
3038,E01001208,Ealing 018E,1366,53.9,29.9,8.6,665000,19,3.9,8.7,3.1,290,56280,10.0,73.20644216691069
3039,E01001212,Ealing 018F,1667,28.6,38.6,14.5,599975,30,5.5,11.6,3.0,210,50728,6.0,35.99280143971206
3040,E01001222,Ealing 019A,2384,18.9,48.9,25.4,407250,48,6.8,7.1,5.5,360,35691,42.0,176.1744966442953
3041,E01001224,Ealing 019B,1616,23.9,31.1,8.6,1000000,25,3.7,6.1,3.1,190,63907,6.0,37.12871287128713
3042,E01001226,Ealing 019C,1535,22.9,49.5,21.4,460000,35,4.4,6.5,4.7,200,48370,7.0,45.60260586319218
3043,E01001227,Ealing 019D,1514,17.3,37.6,15.3,802500,26,4.2,6.8,3.2,170,58756,6.0,39.63011889035667
3044,E01001228,Ealing 019E,1812,26.6,47.0,22.6,449950,19,5.2,9.4,6.0,185,47578,15.0,82.78145695364239
3045,E01001221,Ealing 020A,1861,30.3,50.5,22.8,397708,77,4.5,6.9,6.3,195,41317,514.0,2761.9559376679204
3046,E01001223,Ealing 020B,1517,22.3,42.2,20.4,490000,17,8.0,5.3,4.1,170,57045,5.0,32.95978905735003
3047,E01001225,Ealing 020C,1790,23.4,44.0,16.6,725000,23,4.5,9.3,6.4,175,49480,232.0,1296.0893854748604
3048,E01001235,Ealing 020D,1597,27.5,48.0,20.7,449000,24,3.6,5.7,6.3,155,54098,26.0,162.80525986224168
3049,E01001236,Ealing 020E,1590,14.0,45.6,17.7,645000,19,4.7,8.6,4.5,205,46625,9.0,56.60377358490565
3050,E01001273,Ealing 020F,1623,38.9,55.3,25.8,939939,21,4.3,7.4,3.3,200,56552,15.0,92.42144177449168
3051,E01001274,Ealing 020G,1630,26.8,62.8,36.9,570000,14,4.9,10.3,3.1,190,51108,5.0,30.67484662576687
3052,E01001275,Ealing 020H,1901,34.9,46.8,19.4,498000,26,7.5,7.8,5.0,165,44651,11.0,57.86428195686481
3053,E01001195,Ealing 021A,1833,41.4,55.6,26.8,630000,24,5.8,14.8,2.9,305,35079,10.0,54.55537370430988
3054,E01001197,Ealing 021B,1753,40.3,51.6,31.0,525000,12,7.7,15.7,2.7,280,34569,19.0,108.38562464346835
3055,E01001198,Ealing 021C,1440,10.9,44.4,20.0,1050000,17,5.7,9.5,2.9,245,37399,21.0,145.83333333333334
3056,E01001199,Ealing 021D,1704,10.6,45.2,22.6,431250,22,7.7,11.3,3.0,380,32723,11.0,64.55399061032864
3057,E01001284,Ealing 022A,1539,47.3,37.9,15.2,432500,13,4.3,17.5,3.1,365,40019,2.0,12.99545159194282
3058,E01001288,Ealing 022B,1498,17.3,38.3,19.0,383000,16,5.6,14.7,3.0,325,40809,5.0,33.37783711615487
3059,E01001289,Ealing 022C,1383,12.5,36.0,14.7,390000,17,6.5,10.2,3.1,345,41737,2.0,14.461315979754158
3060,E01001290,Ealing 022D,1856,50.7,43.6,22.0,380000,21,4.4,9.7,3.1,410,41025,20.0,107.75862068965517
3061,E01001213,Ealing 023A,1830,15.1,58.4,33.2,239975,8,9.2,23.1,3.9,420,23618,16.0,87.43169398907104
3062,E01001214,Ealing 023B,1749,23.3,59.7,36.5,347500,2,7.0,21.6,3.3,345,27931,1.0,5.717552887364208
3063,E01001215,Ealing 023C,1765,17.4,61.2,40.4,298000,5,10.0,22.7,5.0,455,23910,19.0,107.6487252124646
3064,E01001216,Ealing 023D,1564,14.2,59.0,34.9,165000,3,7.8,19.0,3.7,340,28304,11.0,70.33248081841433
3065,E01001361,Ealing 023E,1802,38.7,64.4,41.5,275000,6,10.1,21.9,5.0,495,23238,210.0,1165.371809100999
3066,E01001240,Ealing 024A,1615,19.6,56.2,27.0,493750,12,8.6,18.0,5.3,305,27987,8.0,49.53560371517028
3067,E01001241,Ealing 024B,1501,35.3,59.5,26.8,507475,10,6.8,16.2,3.7,255,30063,54.0,359.7601598934044
3068,E01001242,Ealing 024C,1455,20.9,48.7,23.3,1100000,9,7.5,15.8,2.2,270,32092,5.0,34.36426116838488
3069,E01001243,Ealing 024D,1742,22.2,53.4,27.0,668000,37,6.9,14.4,4.3,430,27804,21.0,120.55109070034443
3070,E01001244,Ealing 024E,2539,21.4,55.3,28.8,391450,35,8.2,15.5,3.6,525,26628,27.0,106.3410791650256
3071,E01001245,Ealing 024F,1914,11.1,45.2,19.6,452500,33,5.1,9.8,3.8,395,38534,36.0,188.08777429467085
3072,E01001200,Ealing 025A,1516,13.5,43.2,19.1,712500,27,5.5,11.2,2.4,280,40521,14.0,92.34828496042216
3073,E01001201,Ealing 025B,1561,12.3,36.8,16.0,500000,29,5.5,11.9,2.6,310,41983,7.0,44.84304932735426
3074,E01001202,Ealing 025C,2120,16.3,51.5,28.5,499950,17,7.1,17.6,4.1,595,27046,66.0,311.3207547169811
3075,E01001203,Ealing 025D,1734,9.2,53.1,26.7,415000,11,8.1,14.5,4.0,305,27754,25.0,144.17531718569782
3076,E01001351,Ealing 025E,1994,19.4,53.0,27.3,485000,19,8.6,17.4,5.2,325,29816,109.0,546.6399197592779
3077,E01001359,Ealing 026A,2201,13.3,65.6,46.3,276975,6,9.3,26.3,2.6,655,23108,22.0,99.95456610631531
3078,E01001360,Ealing 026B,1923,14.1,66.0,43.0,250000,7,8.7,21.3,4.4,500,25156,26.0,135.20540821632866
3079,E01001362,Ealing 026C,1935,24.4,67.2,41.1,232475,4,10.0,21.8,4.2,505,23346,30.0,155.03875968992247
3080,E01001363,Ealing 026D,1685,13.5,63.6,45.2,188000,5,9.9,25.2,2.4,490,22600,21.0,124.62908011869436
3081,E01001364,Ealing 026E,1676,11.9,56.1,38.4,250000,6,10.4,26.1,2.1,460,21384,29.0,173.03102625298328
3082,E01001365,Ealing 026F,2217,46.4,64.5,45.9,270000,3,9.2,24.1,2.1,580,23892,10.0,45.105999097880016
3083,E01001231,Ealing 027A,1866,40.2,49.2,18.4,810000,19,4.6,6.7,3.7,225,48309,39.0,209.0032154340836
3084,E01001234,Ealing 027B,1401,30.6,45.2,18.6,440000,18,5.4,7.4,4.5,190,40437,44.0,314.06138472519626
3085,E01001350,Ealing 027C,1486,29.8,49.7,25.4,470000,15,6.8,8.4,4.0,205,43208,6.0,40.37685060565276
3086,E01001352,Ealing 027D,1510,16.0,48.2,21.5,620000,18,4.2,8.2,4.9,220,44416,15.0,99.33774834437087
3087,E01001354,Ealing 027E,1840,27.0,48.5,23.0,472500,33,4.3,13.3,5.6,310,44557,118.0,641.304347826087
